Simulation,%_Obs_Direct_to_MDTF0x22,%_of_Fires_Focused_on_Enemy_Artillery0x22,ACE_Fusion_Expertise,ACE_Fusion_Personnel,ACE_Fusion_Technology,Average_Launch_and_Transit_Time,Crews_Available,ED_Expertise,ED_Personnel,ED_Technology,Frequencies_Per_Satellite,Ground_Control_Stations_Available,Initial_UAS,MDTF_Allocation,MDTF_PEF_Expertise,MDTF_PEF_Technology,NOISE_SEED,PE_Expertise,PE_Technology,PED_Personnel_Total,Satellites_Available,Enemy_AAA_Losses,Enemy_Anti_Aircraft,Enemy_Artillery,Enemy_Artillery_Losses,Friendly_UAS_Losses,HIMARS_Losses,Satellite_Losses,AAA_to_UAS_Loss_Ratio,Artillery_Loss_Ratio,ED_Overflow_Ratio,ED_Overwork,Enemy_AAA_Percent_Loss,Enemy_Artillery_Percent_Loss,HIMARS_Percent_Loss,MDTF_Overflow_Ratio,MDTF_PE_Limit,PE_Overflow_Ratio,PE_Overwork,Satellite_Percent_Loss,Total_Loss_Ratio,Total_Overflow_Ratio,UAS_Loss_Percent
984.5,0.05125,0.4875,3.1675,27.563,1.275,2.75,45.1,2.0875,9.3775,2.6725,1.95,44.1,40.925,0.49375,2.405,2.735,24.5,3.2725,1.745,32.213,5.375,37.035,12.965,15.129,34.871,22.729,18.729,4.3333,1.7001,1.9016,0.0085273,0,74.069,69.742,93.646,1.24E-05,104.62,0.0047094,0,80.62,1.7478,0.013249,45.458
1032.5,0.05375,0.4225,3.0775,19.563,2.285,4.99,35.9,1.5925,5.2175,2.3725,1.11,42.9,26.675,0.15625,2.795,1.355,24.5,3.9775,2.875,24.513,13.775,47.463,2.5374,10.461,39.539,28.458,18.958,10.875,1.7259,2.1049,0.21168,0.00059025,94.925,79.078,94.792,0.00013331,14.505,0.0025329,0,78.947,1.8634,0.21435,56.917
1080.5,0.05625,0.3725,3.9325,9.0625,2.675,5.51,12.1,1.4425,2.2925,1.0825,4.09,16.1,36.425,0.12875,1.965,2.005,24.5,3.3925,1.905,32.563,5.445,14.093,35.907,41.844,8.1562,35.938,19.854,4.4375,0.39564,0.41243,0.72788,0.035308,28.185,16.312,99.271,0.00010679,16.517,0.0027022,0,81.497,0.39926,0.73069,71.875
1128.5,0.05875,0.3275,2.9425,12.313,1.005,4.05,16.9,3.0325,9.7025,1.7725,2.75,42.1,48.875,0.28875,1.435,2.635,24.5,3.5875,2.385,34.838,8.805,50,0,5.6921,44.308,21.104,18.021,6.7708,2.4451,2.4776,0.016731,2.37E-22,100,88.616,90.104,7.07E-05,38.037,0.0032397,0,76.898,2.4395,0.020041,42.208
1176.5,0.06125,0.4325,3.8575,23.188,1.465,4.11,36.5,3.0925,5.9325,3.2425,2.41,19.7,35.525,0.47125,1.055,2.295,24.5,2.7775,1.915,28.537,4.465,39.605,10.395,17.652,32.348,20.958,19.125,3.5625,1.9696,1.7053,0.0067187,0,79.209,64.696,95.625,5.36E-05,32.561,0.0050609,0,79.787,1.8206,0.011833,41.917
1224.5,0.06375,0.5025,1.0525,10.813,2.035,2.87,48.9,1.1575,6.4525,3.0475,1.73,47.5,40.775,0.02625,1.815,1.735,24.5,3.3325,1.705,33.612,3.905,22.812,27.188,27.089,22.911,18.375,19.771,2.7917,1.3381,1.1681,0.015125,4.07E-13,45.624,45.822,98.854,0.0004699,2.7785,0.0014922,0,71.49,1.2161,0.017087,36.75
1272.5,0.06625,0.9225,3.4375,7.6875,2.235,5.25,45.5,2.6725,12.888,3.2575,3.85,19.9,35.075,0.33875,2.395,1.775,24.5,2.1025,2.475,24.862,10.065,36.772,13.228,0,50,39.271,11.042,7.875,0.94107,4.7537,0.0059345,0,73.544,100,55.208,9.83E-05,35.804,0.008637,0,78.241,1.7306,0.01467,78.542
1320.5,0.06875,0.4625,1.9075,12.063,1.895,2.65,26.1,2.6425,8.3375,2.8825,4.35,39.5,49.475,0.31375,1.275,1.535,24.5,1.8775,1.265,18.038,9.225,47.78,2.2204,5.7497,44.25,35.958,17.521,7.1667,1.3391,2.5578,0.00667,0,95.559,88.501,87.604,0.00041826,11.076,0.21488,4.73E-16,77.687,1.7299,0.22197,71.917
1368.5,0.07125,0.1475,1.8025,20.438,2.105,5.71,24.5,2.2975,5.1525,3.1525,2.85,15.1,38.675,0.05125,1.365,2.145,24.5,3.5575,2.565,25.388,7.615,50,0,8.1201,41.88,15.896,18.729,6.1042,3.3104,2.2585,0.029095,3.48E-17,100,83.76,93.646,0.0011449,3.8096,0.0027461,0,80.16,2.6962,0.032986,31.792
1416.5,0.07375,0.2875,2.1175,27.938,1.935,3.41,38.7,2.7175,5.0225,2.7925,3.11,29.5,28.475,0.14125,2.555,2.365,24.5,3.6025,1.735,37.638,10.975,49.68,0.32045,6.9542,43.046,28.792,18.125,8.5,1.7537,2.3886,0.11009,5.99E-18,99.359,86.092,90.625,0.00016722,32.124,0.0041717,0,77.449,1.994,0.11443,57.583
1464.5,0.07625,0.3425,2.3425,19.438,2.585,2.41,17.3,2.4175,4.1775,3.3925,4.33,17.1,46.925,0.34375,1.505,2.375,24.5,3.7375,1.095,32.912,12.865,49.596,0.40358,10.892,39.108,25.042,18.583,10.229,2.0716,2.1259,0.093932,3.86E-15,99.193,78.216,92.917,0.00012442,40.439,0.0087961,0,79.512,2.0683,0.10285,50.083
1512.5,0.07875,0.9925,2.0425,25.438,1.045,4.43,10.3,2.3725,12.497,1.9075,4.55,41.1,27.725,0.03875,1.445,1.515,24.5,3.6475,2.295,26.963,4.045,5.0462,44.954,0.86339,49.137,34.75,14.313,3.375,0.13963,3.533,0.0071929,0,10.092,98.273,71.563,0.0020897,2.2872,0.0019124,0,83.436,1.1141,0.011195,69.5
1560.5,0.08125,0.8675,3.5125,25.563,2.515,5.63,11.1,2.3875,7.4275,3.4675,4.51,42.5,47.075,0.06125,2.255,2.055,24.5,3.7675,2.085,39.213,7.545,41.158,8.8424,0,50,34.583,15.063,5.8542,1.2033,3.3776,0.0068195,0,82.315,100,75.313,0.00029875,11.13,0.0014771,0,77.59,1.8517,0.0085953,69.167
1608.5,0.08375,0.6975,1.1275,20.313,1.345,4.91,32.5,1.0675,8.4675,2.5525,3.23,33.3,47.525,0.19375,1.605,2.835,24.5,1.2625,1.675,31.162,11.675,24.568,25.432,3.4808,46.519,39.771,15.167,9.125,0.62029,3.1697,0.27497,3.48E-15,49.136,93.038,75.833,0.00027197,27.473,0.042092,4.32E-20,78.158,1.3033,0.31734,79.542
1656.5,0.08625,0.1775,1.6375,28.688,1.295,4.85,15.1,3.7975,9.8325,1.9825,2.95,31.5,31.325,0.16375,2.175,2.315,24.5,1.3825,2.645,34.138,10.695,49.896,0.10354,8.6438,41.356,16.75,18.625,8.4167,3.1325,2.2415,0.0080121,0,99.793,82.712,93.125,0.00018724,28.146,0.0056277,0,78.697,2.6127,0.013827,33.5
1704.5,0.08875,0.8375,1.2175,15.063,1.595,2.57,41.3,1.3975,3.8525,1.6225,3.81,33.1,38.375,0.40875,1.785,1.625,24.5,1.4275,1.355,9.2875,11.465,6.369,43.631,18.012,31.988,39.958,18.854,9.2917,0.15948,1.7051,0.049742,2.92E-12,12.738,63.976,94.271,0.0008823,11.012,0.5866,7.43E-14,81.044,0.65298,0.63722,79.917
1752.5,0.09125,0.8525,1.9975,10.063,1.695,5.11,43.9,1.5325,2.7475,3.4075,4.85,28.9,46.475,0.39625,1.295,2.915,24.5,3.5725,2.435,21.362,8.315,11.23,38.77,4.4256,45.574,39.938,16.125,6.4375,0.28165,2.8919,0.4757,5.06E-11,22.46,91.149,80.625,0.00028057,31.954,0.0082979,0,77.42,1.0183,0.48428,79.875
1800.5,0.09375,0.7125,3.0925,7.0625,1.455,2.95,14.9,1.5775,6.6475,3.9175,2.35,13.5,48.575,0.23625,2.755,1.445,24.5,3.1525,2.995,36.938,4.185,26.441,23.559,8.7975,41.203,23.313,17.396,3.3958,1.0929,2.4635,0.0096219,0,52.882,82.405,86.979,0.00011649,34.74,0.0014186,0,81.143,1.6297,0.011157,46.625
1848.5,0.09625,0.3625,2.4475,15.563,2.795,5.57,38.9,2.2675,3.9825,3.1975,1.59,23.7,23.825,0.35625,2.955,2.745,24.5,1.2325,1.755,5.4375,5.235,21.493,28.507,37.654,12.346,19.688,19.896,4.1667,1.1508,0.62129,0.0035782,0,42.987,24.692,99.479,0.00020672,15.713,0.29493,0.033268,79.593,0.85374,0.29872,39.375
1896.5,0.09875,0.7475,3.2425,8.1875,2.415,4.89,14.1,1.5175,13.212,2.4175,3.45,45.5,27.575,0.14625,2.145,1.365,24.5,2.8075,1.935,15.413,11.885,46.035,3.9653,0,50,35.729,13.813,9.3125,1.2943,3.7154,0.011608,0,92.069,100,69.063,0.00099612,6.5998,0.0073509,0,78.355,1.9487,0.019955,71.458
1944.5,0.10125,0.2025,1.6225,6.4375,2.955,4.33,12.7,3.3625,5.0875,3.1375,4.41,21.7,28.175,0.05625,1.165,2.425,24.5,2.9275,2.955,18.737,8.105,50,0,9.9517,40.048,15.521,18.979,6.4167,3.4737,2.124,0.011173,0,100,80.097,94.896,0.0098649,2.9776,0.0035868,0,79.169,2.6609,0.024624,31.042
1992.5,0.10375,0.7325,2.8525,8.9375,2.975,3.95,47.5,3.7075,11.848,3.5575,3.91,23.1,37.625,0.36125,1.735,2.435,24.5,3.3025,2.255,26.612,6.985,47.052,2.9476,0,50,36.813,11.188,5.3125,1.287,4.6553,0.0042815,0,94.105,100,55.938,0.00023085,40.615,0.005529,0,76.056,2.0407,0.010041,73.625
2040.5,0.10625,0.0125,2.7925,7.3125,2.165,3.29,14.5,1.8025,7.6225,3.5425,3.19,40.3,44.975,0.18875,2.305,1.635,24.5,2.7025,1.085,19.788,13.145,50,0,42.844,7.1558,14.188,19.917,10.688,3.6956,0.3604,0.014953,0,100,14.312,99.583,0.00064312,14.076,0.017155,1.21E-21,81.305,1.6907,0.03275,28.375
2088.5,0.10875,0.8725,1.7425,5.1875,2.785,5.15,44.7,3.9775,2.8775,2.5675,2.81,43.1,36.275,0.31875,2.225,1.705,24.5,3.1075,2.945,30.112,2.785,11.398,38.602,7.1811,42.819,21.958,17.979,1.8542,0.4955,2.4285,0.0086549,0,22.796,85.638,89.896,9.97E-05,36.413,0.0012974,0,66.577,1.3593,0.010052,43.917
2136.5,0.11125,0.6725,1.4125,18.188,1.845,2.89,46.7,1.7425,2.8125,2.5975,4.49,39.7,23.075,0.40375,2.515,1.035,24.5,3.0775,2.485,39.037,8.175,21.446,28.554,6.8939,43.106,39.688,16.896,6.5417,0.5414,2.6192,0.50351,3.36E-12,42.892,86.212,84.479,0.0003231,41.027,0.0047266,0,80.02,1.146,0.50856,79.375
2184.5,0.11375,0.1875,3.4975,11.063,1.635,4.23,21.5,3.5875,10.353,3.2875,4.81,35.3,27.125,0.12625,2.455,1.425,24.5,3.4825,1.885,5.7875,3.765,49.608,0.39177,8.5257,41.474,19.854,18.792,2.6667,2.5721,2.2279,0.0038511,0,99.216,82.949,93.958,0.028941,2.5562,0.063144,8.20E-17,70.828,2.3856,0.095936,39.708
2232.5,0.11625,0.3325,1.6825,26.063,1.075,2.67,41.1,3.1675,10.418,2.6575,1.65,35.1,29.825,0.12375,1.195,2.275,24.5,1.6525,2.265,11.212,7.055,48.407,1.5927,11.299,38.701,17.458,18.833,5.625,3.01,2.0803,0.0046485,0,96.815,77.401,94.167,0.0041723,3.7722,0.015049,5.30E-23,79.731,2.4454,0.023869,34.917
2280.5,0.11875,0.2225,2.5825,23.688,1.175,3.81,19.9,2.4625,14.513,1.5925,2.47,10.1,49.325,0.27625,2.995,1.475,24.5,3.7825,1.725,17.688,3.205,36.088,13.912,32.822,17.178,13.354,19.646,2.5,2.8294,0.89166,0.0050779,0,72.176,34.356,98.229,0.00025363,21.585,0.0035941,0,78.003,1.6121,0.0089256,26.708
2328.5,0.12125,0.5125,3.7525,7.1875,1.265,2.99,33.5,3.3325,8.2075,1.4425,4.75,30.5,44.525,0.25125,1.545,2.195,24.5,3.1225,1.615,21.538,12.375,47.38,2.6202,1.6302,48.37,35.896,15.375,9.5625,1.3273,3.1994,0.074192,5.76E-19,94.76,96.74,76.875,0.00077016,18.351,0.01039,0,77.273,1.8717,0.085352,71.792
2376.5,0.12375,0.9125,2.8675,19.938,1.775,5.61,34.3,1.5475,3.4625,1.8775,2.57,43.7,45.425,0.32875,2.675,1.565,24.5,2.7325,1.555,25.563,10.765,7.1099,42.89,3.372,46.628,39.25,15.021,8.2292,0.18105,3.202,0.54484,8.79E-13,14.22,93.256,75.104,0.00046197,35.181,0.013496,0,76.444,0.99543,0.5588,78.5
2424.5,0.12625,0.2725,3.6175,27.188,2.545,5.79,32.1,2.8675,7.2325,2.2825,3.63,10.5,46.625,0.46125,2.115,1.185,24.5,2.7175,1.925,32.737,10.275,48.52,1.48,10.829,39.171,18,18.875,7.9375,3.0206,2.0915,0.0094254,0,97.04,78.343,94.375,0.00023633,37.845,0.0046086,0,77.251,2.4683,0.01427,36
2472.5,0.12875,0.3925,3.5575,28.438,2.365,5.49,47.1,1.9675,10.678,2.7475,1.09,19.5,37.775,0.40625,2.055,1.065,24.5,2.2075,2.585,12.087,1.245,2.5504,47.45,48.283,1.7172,2.125,19.875,0.875,1.3273,0.086763,0.0011336,0,5.1009,3.4344,99.375,0.00014977,10.747,0.0017964,0,70.281,0.18727,0.0030797,4.25
2520.5,0.13125,0.9275,1.7575,21.438,2.265,4.45,13.7,2.5375,9.2475,3.5275,3.13,12.1,20.675,0.43875,2.835,2.505,24.5,2.2675,2.195,14.188,1.875,5.3656,44.634,12.053,37.947,18.458,18.875,0.9375,0.27939,2.0482,0.0021842,0,10.731,75.894,94.375,9.90E-05,44.206,0.0048137,0,50,1.1701,0.0070968,36.917
2568.5,0.13375,0.3875,1.3675,18.688,2.575,5.37,36.3,3.2275,10.743,3.6475,1.43,36.1,27.275,0.02875,1.765,1.615,24.5,3.0475,2.135,23.813,6.705,41.573,8.4274,19.071,30.929,19.25,19.333,4.9792,2.2864,1.6189,0.0023699,0,83.145,61.858,96.667,0.022136,1.9515,0.0020438,0,74.261,1.9113,0.02655,38.5
2616.5,0.13625,0.1225,1.6075,26.563,1.415,2.17,40.9,1.6975,14.058,3.2275,1.41,46.9,42.875,0.46875,2.865,1.465,24.5,2.3125,2.825,22.587,2.925,23.834,26.166,46.073,3.9266,10.021,19.896,1.9167,2.721,0.19889,0.0018034,0,47.669,7.8533,99.479,8.12E-05,44.44,0.0018436,0,65.527,0.93622,0.0037282,20.042
2664.5,0.13875,0.7725,1.9525,12.938,2.945,2.77,10.1,2.3575,13.798,3.3625,3.61,15.9,35.225,0.33125,2.155,1.585,24.5,2.1775,1.055,8.0625,10.415,40.903,9.0966,0,50,37.417,16.521,8,1.1056,3.0509,0.0014425,0,81.807,100,82.604,0.0012475,9.1223,0.30457,3.14E-07,76.812,1.6938,0.30726,74.833
2712.5,0.14125,0.1575,1.4725,19.063,2.255,4.15,46.1,3.3025,14.773,2.0875,1.31,39.3,42.425,0.07375,1.405,2.205,24.5,1.7725,2.915,15.587,4.745,34.119,15.881,41.807,8.1933,11.625,19.833,3.7083,3.1077,0.41967,0.0021095,0,68.238,16.387,99.167,0.0019457,3.5614,0.0029678,0,78.152,1.3507,0.007023,23.25
2760.5,0.14375,0.2325,2.3575,29.063,1.585,2.97,19.3,1.1275,12.433,1.3975,4.93,41.9,40.175,0.29375,2.945,2.535,24.5,3.4675,1.435,5.2625,11.815,49.609,0.391,11.816,38.184,26.583,19.125,9.2083,1.9256,2.0086,0.02665,0.00057878,99.218,76.368,95.625,0.0018668,11.541,0.30993,0.0031813,77.938,1.9437,0.33845,53.167
2808.5,0.14625,0.2375,2.2975,17.188,2.005,4.59,24.1,3.9325,5.3475,2.1925,4.17,37.5,49.025,0.30125,1.725,2.565,24.5,3.6325,1.005,29.938,13.005,50,0,10.365,39.635,20.521,18.292,10.271,2.5861,2.1852,0.027252,6.04E-21,100,79.271,91.458,0.00049342,39.904,0.0098641,0,78.976,2.3457,0.037609,41.042
2856.5,0.14875,0.0675,3.3175,14.938,2.205,2.71,33.3,2.9725,8.0775,2.1175,2.39,26.9,24.575,0.26625,2.965,1.025,24.5,1.5325,2.605,19.962,6.495,50,0,9.5204,40.48,14.458,19.042,5.0208,3.8886,2.1511,0.011203,0,100,80.959,95.208,0.0009745,16.153,0.0097645,0,77.303,2.7641,0.021942,28.917
2904.5,0.15125,0.1975,1.5025,8.0625,1.735,3.19,44.3,2.9875,3.3975,3.0025,4.29,22.5,30.425,0.23125,1.675,2.775,24.5,1.3375,2.765,8.4125,14.055,50,0,11.49,38.51,24.833,18.646,11.146,2.0826,2.0891,0.014186,0,100,77.02,93.229,0.0042919,9.0424,0.22294,0.00027514,79.302,2.0545,0.24142,49.667
2952.5,0.15375,0.6875,1.1575,20.563,1.525,2.45,44.5,3.6775,11.197,3.4525,3.75,32.1,32.375,0.31125,1.775,2.165,24.5,3.7075,2.965,39.388,10.905,45.42,4.5795,0,50,38.167,10.313,8.3333,1.1944,5.061,0.0044587,0,90.841,100,51.563,0.00046024,47.111,0.0022048,0,76.418,1.9724,0.0071237,76.333
3000.5,0.15625,0.4975,1.3075,6.0625,1.725,2.55,14.3,3.2425,6.3225,2.8225,2.69,20.3,48.725,0.26875,1.905,2.545,24.5,2.5225,1.025,13.663,10.835,48.409,1.5912,2.6743,47.326,29.479,16.146,8.75,1.7011,2.9753,0.0063912,0,96.818,94.651,80.729,0.0010191,17.802,0.1072,4.59E-16,80.757,2.123,0.11461,58.958
3048.5,0.15875,0.6025,1.1725,14.063,2.275,3.27,29.5,2.1775,8.8575,1.9375,3.67,21.9,22.775,0.26125,2.645,1.125,24.5,2.0425,2.245,20.663,7.265,46.949,3.0508,0,50,35.854,12.188,5.6042,1.3153,4.2418,0.056129,5.30E-19,93.898,100,60.938,0.0015445,16.063,0.010662,0,77.139,2.0273,0.068336,71.708
3096.5,0.16125,0.8975,2.4625,11.438,2.555,4.87,24.9,1.3075,2.5525,2.7025,4.15,28.3,44.825,0.38125,2.695,2.935,24.5,3.5125,1.665,28.362,11.395,15.912,34.088,0.94345,49.057,39.896,13.688,9.0208,0.40021,3.6673,0.53388,1.17E-09,31.823,98.113,68.438,0.00031221,85.53,0.0072413,0,79.165,1.2176,0.54144,79.792
3144.5,0.16375,0.3475,1.0375,5.8125,2.595,3.37,21.1,1.2325,14.643,3.3025,3.37,13.7,32.675,0.30875,2.725,1.895,24.5,3.1675,1.225,12.962,10.625,49.672,0.32814,7.5503,42.45,18.979,18.063,8.5208,2.7937,2.3772,0.0079381,0,99.344,84.899,90.313,0.00091711,20.667,0.025537,2.19E-18,80.196,2.5437,0.034392,37.958
3192.5,0.16625,0.1425,1.5475,21.938,1.055,3.39,18.7,1.1125,12.173,1.8925,3.87,29.1,47.675,0.02125,1.305,2.805,24.5,2.6425,1.495,23.462,4.815,48.224,1.7763,16.974,33.026,24.063,19.229,3.6458,2.1338,1.7499,0.11965,0.0002439,96.447,66.052,96.146,0.093413,1.8251,0.0062349,0,75.718,1.9202,0.2193,48.125
3240.5,0.16875,0.1025,3.0175,25.813,2.325,3.17,13.1,1.3525,3.2025,1.5325,1.69,18.1,43.775,0.05875,1.345,2.415,24.5,1.1725,1.605,26.438,11.955,46.537,3.4633,29.333,20.667,27.833,19.667,9.2708,1.7459,1.0698,0.54888,0.11758,93.073,41.333,98.333,0.018837,5.0451,0.012489,0,77.548,1.4555,0.58021,55.667
3288.5,0.17125,0.1075,1.9675,18.938,2.985,4.73,15.9,1.4725,5.8025,3.3175,3.51,23.5,26.825,0.03125,2.355,1.575,24.5,1.4725,2.685,30.987,9.365,49.343,0.65711,11.734,38.266,17.75,18.75,7.3542,2.9494,2.0693,0.071244,0.0030717,98.686,76.532,93.75,0.051852,3.5918,0.0044838,0,78.528,2.4678,0.12758,35.5
3336.5,0.17375,0.4925,2.3125,28.063,2.455,4.79,34.5,2.0275,8.4025,1.8475,1.25,10.9,47.825,0.24875,1.565,2.715,24.5,2.4625,1.455,14.013,7.335,39.507,10.493,11.198,38.802,19.563,18.729,5.7292,2.1165,2.1027,0.0089102,0,79.013,77.603,93.646,0.00080136,14.81,0.0074683,0,78.107,2.0731,0.01718,39.125
3384.5,0.17625,0.2625,3.7075,14.188,2.045,2.37,25.1,1.2775,9.1175,2.5375,4.69,21.1,24.425,0.24125,2.935,1.505,24.5,1.0225,2.455,8.9375,10.485,49.972,0.028177,8.6343,41.366,27.708,18.5,8.4167,1.8415,2.2526,0.0071328,0,99.944,82.731,92.5,0.0071669,9.5242,0.32445,0.0017782,80.273,1.9928,0.33875,55.417
3432.5,0.17875,0.1275,1.9825,25.063,1.955,2.83,35.7,3.8575,14.188,2.5825,1.39,24.3,23.375,0.08125,1.205,1.105,24.5,2.4025,1.105,33.787,10.205,50,0,5.8238,44.176,16,18.333,8,3.3104,2.4369,0.0032347,0,100,88.352,91.667,0.047504,3.6553,0.0057009,0,78.393,2.784,0.05644,32
3480.5,0.18125,0.9825,3.8875,24.688,2.765,4.81,38.1,2.3125,4.3725,2.9575,2.91,18.7,20.825,0.18625,1.135,2.755,24.5,1.5475,2.325,7.7125,6.775,15.73,34.27,0,50,38.438,12.104,5.2292,0.41177,4.2747,0.013417,0,31.46,100,60.521,0.040261,4.4917,0.14323,1.07E-13,77.183,1.3053,0.19691,76.875
3528.5,0.18375,0.2475,3.2125,11.813,1.235,3.01,37.3,2.7475,3.0075,2.8525,2.05,32.7,26.375,0.11625,2.895,2.095,24.5,2.4775,1.775,20.487,1.665,18.355,31.645,43.992,6.0082,9.3958,19.917,0.9375,2.0623,0.30291,0.0045035,0,36.711,12.016,99.583,0.00039144,14.445,0.0014027,0,56.306,0.82778,0.0062976,18.792
3576.5,0.18625,0.0875,3.0475,13.938,1.825,4.53,23.9,3.4975,8.9875,3.2125,3.79,49.3,46.025,0.20375,1.995,1.265,24.5,1.8175,1.985,24.337,3.485,49.381,0.61891,14.698,35.302,13.271,19.021,2.6458,3.9595,1.8954,0.0036351,0,98.762,70.603,95.104,0.0016689,12.514,0.0054496,0,75.921,2.6785,0.010754,26.542
3624.5,0.18875,0.6475,2.7025,24.938,1.185,4.07,27.7,1.3675,13.992,2.1025,2.99,11.9,26.525,0.44625,2.085,2.225,24.5,1.7125,1.595,8.2375,14.895,44.646,5.3543,0.98759,49.012,34.75,15.875,11.521,1.3051,3.1441,0.0036711,0,89.291,98.025,79.375,0.0012888,17.053,0.28301,2.33E-06,77.347,1.8699,0.28797,69.5
3672.5,0.19125,0.0725,2.7775,8.8125,2.605,3.63,24.3,3.7825,12.237,1.7425,1.21,16.7,32.225,0.09375,2.335,1.975,24.5,1.9975,2.075,35.888,6.285,47.158,2.8425,38.471,11.53,11.875,19.75,5,4.6293,0.59082,0.0028336,0,94.315,23.059,98.75,0.00084102,15.516,0.0017399,0,79.555,1.9086,0.0054145,23.75
3720.5,0.19375,0.6225,1.0825,17.063,1.605,4.83,34.7,3.6325,5.2825,2.3125,2.01,30.3,39.275,0.04125,2.845,1.485,24.5,2.7625,1.145,15.237,12.655,44.476,5.5239,0.43374,49.566,37.333,14.083,9.7917,1.1989,3.5892,0.019253,1.86E-20,88.952,99.133,70.417,0.10399,2.6555,0.026467,9.86E-21,77.374,1.839,0.14971,74.667
3768.5,0.19625,0.8475,3.4525,9.8125,1.315,5.39,29.1,2.0575,3.2675,3.5125,3.97,41.5,34.625,0.39125,2.215,1.805,24.5,2.6275,1.975,27.487,11.185,40.937,9.0629,0,50,38.792,10,9.0417,1.0613,5.2912,0.17135,7.11E-17,81.874,100,50,0.00084332,42.997,0.0075026,0,80.837,1.8708,0.17969,77.583
3816.5,0.19875,0.8125,2.8825,8.4375,2.695,4.63,42.7,3.4525,12.952,1.7875,3.05,47.7,47.975,0.29625,1.855,1.085,24.5,1.1125,2.315,28.713,11.535,41.963,8.0371,0,50,38.042,8.8542,8.9167,1.1093,6.1084,0.0075025,0,83.926,100,44.271,0.0025264,17.12,0.017704,6.31E-23,77.301,1.9726,0.027733,76.083
3864.5,0.20125,0.6075,3.5725,17.563,2.335,4.93,36.1,1.4875,12.367,2.0725,2.19,26.1,33.575,0.28625,1.285,1.375,24.5,3.6925,1.575,35.537,11.045,47.447,2.553,0,50,34.229,11.708,8.875,1.3959,4.4676,0.039716,3.78E-20,94.894,100,58.542,0.0022379,17.974,0.0038193,0,80.353,2.1382,0.045774,68.458
3912.5,0.20375,0.2075,2.3725,27.063,2.245,2.21,40.5,3.6625,2.6825,1.3225,4.53,22.9,41.675,0.42625,1.555,1.145,24.5,1.5625,2.345,21.888,9.295,50,0,8.1346,41.865,25.229,18.646,7.2708,2.0458,2.2605,0.35893,3.72E-13,100,83.731,93.229,0.0029981,16.611,0.031102,2.02E-20,78.223,2.1203,0.39303,50.458
3960.5,0.20625,0.8425,3.3925,22.438,1.705,2.25,13.3,2.6275,9.4425,1.6075,3.03,31.3,41.825,0.15125,1.065,1.285,24.5,3.0625,2.785,36.763,14.965,46.474,3.5258,0,50,35.792,11.521,11.75,1.3075,4.611,0.013889,5.36E-23,92.948,100,57.604,0.0099618,7.6094,0.0016814,0,78.517,2.0536,0.025532,71.583
4008.5,0.20875,0.3825,2.8375,23.813,2.915,5.67,36.7,2.1925,9.5725,1.1125,4.87,30.9,22.625,0.28125,2.765,1.825,24.5,1.8325,2.975,27.838,2.155,38.517,11.483,20.94,29.06,14.396,19.188,1.75,2.8719,1.5401,0.020304,1.30E-15,77.035,58.12,95.938,0.0005524,39.508,0.0028685,0,81.206,2.0242,0.023725,28.792
4056.5,0.21125,0.6625,3.7375,20.938,1.425,5.69,17.1,3.8425,8.7925,2.3275,2.97,36.7,45.725,0.22875,2.445,1.015,24.5,3.9925,1.795,21.013,10.345,46.777,3.2235,0,50,33.917,12.354,8.1875,1.3902,4.1868,0.0054271,0,93.553,100,61.771,0.0033293,11.928,0.0037679,0,79.144,2.1057,0.012524,67.833
4104.5,0.21375,0.7225,2.1625,14.313,1.915,5.43,41.9,1.2175,6.9075,2.1625,3.29,14.7,49.175,0.14875,1.535,1.815,24.5,2.6125,1.415,16.987,6.845,46.54,3.4597,0,50,32.375,14.125,5.2292,1.4522,3.6109,0.12224,2.69E-13,93.081,100,70.625,0.011249,7.04,0.0080371,0,76.394,2.0925,0.14152,64.75
4152.5,0.21625,0.5325,1.4275,16.938,1.245,3.61,37.5,3.5425,8.7275,1.6975,1.77,23.9,25.025,0.03625,2.615,1.745,24.5,1.5775,1.835,17.862,3.065,18.306,31.694,29.303,20.697,13.958,19.625,2.4167,1.3893,1.0618,0.0029693,0,36.611,41.395,98.125,0.011146,2.9547,0.0032652,0,78.847,1.1517,0.017381,27.917
4200.5,0.21875,0.2975,2.3275,24.563,1.285,3.33,25.7,2.4925,6.3875,1.9975,3.55,13.9,36.725,0.17625,1.465,2.815,24.5,1.3675,1.125,38.162,14.125,50,0,9.7462,40.254,16.229,18.375,11.125,3.2979,2.2061,0.024556,9.34E-19,100,80.508,91.875,0.0012775,27.738,0.010768,0,78.761,2.6507,0.036602,32.458
4248.5,0.22125,0.0925,3.0625,8.3125,2.445,4.31,27.3,1.9825,11.522,2.4625,3.01,22.3,40.475,0.38875,1.425,2.785,24.5,1.6975,1.875,27.138,9.505,50,0,6.7424,43.258,14.417,18.146,7.5625,3.64,2.4182,0.0097783,0,100,86.515,90.729,0.00097433,41.868,0.012701,1.12E-23,79.563,2.9001,0.023454,28.833
