Simulation,%_Obs_Direct_to_MDTF0x22,%_of_Fires_Focused_on_Enemy_Artillery0x22,ACE_Fusion_Expertise,ACE_Fusion_Personnel,ACE_Fusion_Technology,Average_Launch_and_Transit_Time,Crews_Available,ED_Expertise,ED_Personnel,ED_Technology,Frequencies_Per_Satellite,Ground_Control_Stations_Available,Initial_UAS,MDTF_Allocation,MDTF_PEF_Expertise,MDTF_PEF_Technology,NOISE_SEED,PE_Expertise,PE_Technology,PED_Personnel_Total,Satellites_Available,Enemy_AAA_Losses,Enemy_Anti_Aircraft,Enemy_Artillery,Enemy_Artillery_Losses,Friendly_UAS_Losses,HIMARS_Losses,Satellite_Losses,AAA_to_UAS_Loss_Ratio,Artillery_Loss_Ratio,ED_Overflow_Ratio,ED_Overwork,Enemy_AAA_Percent_Loss,Enemy_Artillery_Percent_Loss,HIMARS_Percent_Loss,MDTF_Overflow_Ratio,MDTF_PE_Limit,PE_Overflow_Ratio,PE_Overwork,Satellite_Percent_Loss,Total_Loss_Ratio,Total_Overflow_Ratio,UAS_Loss_Percent
8376.5,0.43625,0.4175,2.5975,11.313,1.905,3.99,34.1,3.3925,8.5325,1.5625,2.27,42.3,39.725,0.33375,1.395,2.905,24.5,3.8275,2.205,16.288,8.735,49.899,0.10055,3.4492,46.551,17.521,15.771,6.7708,2.9593,2.992,0.0064197,0,99.799,93.102,78.854,0.01534,22.029,0.0029607,0,77.514,2.932,0.02472,35.042
8424.5,0.43875,0.6775,2.0875,22.938,1.145,2.35,34.9,1.7125,7.1025,3.1225,3.49,25.5,38.225,0.05375,1.745,2.455,24.5,1.3525,2.115,38.688,3.415,46.045,3.9553,0.74604,49.254,24.229,13.792,2.6667,1.9649,3.7073,0.0048007,0,92.089,98.508,68.958,0.07873,8.9083,0.0017332,0,78.087,2.5579,0.085264,48.458
8472.5,0.44125,0.1725,1.2025,19.688,1.025,3.73,37.9,3.4825,6.5825,1.2325,4.77,12.5,23.975,0.01375,2.075,2.235,24.5,2.9875,2.635,9.9875,8.945,44.947,5.0532,31.948,18.052,30.75,19.771,7.0625,1.5368,0.9211,0.0092791,0,89.894,36.103,98.854,0.41214,0.63688,0.002868,0,78.955,1.284,0.42429,61.5
8520.5,0.44375,0.4725,1.1425,29.938,1.665,4.77,49.5,2.7775,14.253,3.0625,3.41,28.5,49.925,0.41875,1.915,1.685,24.5,2.6725,2.675,7.5375,6.565,49.298,0.70206,2.8224,47.178,26.479,15.542,5.2083,1.9485,3.0987,0.0021097,0,98.596,94.355,77.708,0.14491,10.185,0.01643,1.31E-21,79.335,2.3446,0.16345,52.958
8568.5,0.44625,0.4475,1.8475,18.313,2.905,3.09,40.3,2.9275,7.8825,2.7325,1.53,16.5,47.225,0.10625,1.795,2.245,24.5,2.1325,1.865,6.3125,7.755,42.658,7.3416,13.222,36.778,27.042,18.958,6.125,1.639,1.9643,0.0025289,0,85.317,73.556,94.792,0.29116,2.7028,0.0097737,4.73E-21,78.981,1.7534,0.30346,54.083
8616.5,0.44875,0.9875,2.4775,28.313,1.445,5.73,33.1,1.0225,12.303,3.3775,4.95,36.9,44.375,0.42375,2.665,2.525,24.5,1.1575,2.365,9.1125,9.085,40.666,9.3339,0,50,39.479,7.1042,7.1875,1.0337,8.0556,0.0028036,0,81.332,100,35.521,0.012644,25.984,0.14469,1.07E-16,79.114,1.9536,0.16013,78.958
8664.5,0.45125,0.2825,2.6125,22.563,1.135,3.71,32.9,2.1175,4.8925,1.0375,2.09,14.3,42.575,0.32125,1.925,1.795,24.5,3.8725,1.365,20.837,4.605,49.78,0.22047,5.4207,44.579,11.5,17.771,3.5833,5.2493,2.5543,0.059253,4.01E-14,99.559,89.158,88.854,0.004382,23.13,0.0018919,0,77.814,3.294,0.065527,23
8712.5,0.45375,0.5075,2.2225,22.063,2.135,2.11,43.3,3.3175,14.447,3.8875,1.51,14.9,21.725,0.27375,1.225,2.665,24.5,3.2425,1.315,13.837,12.305,48.511,1.4889,1.295,48.705,24.333,13.938,9.6667,2.099,3.6192,0.0012436,0,97.022,97.41,69.688,0.090369,12.366,0.0062202,0,78.559,2.6,0.097833,48.667
8760.5,0.45625,0.3575,3.3625,16.313,2.685,5.23,21.9,2.1625,7.0375,2.3875,2.29,27.5,33.275,0.28375,1.415,2.865,24.5,1.5175,2.015,39.563,8.455,50,0,3.1959,46.804,13.354,15.646,6.8125,4.0069,3.0307,0.0078409,0,100,93.608,78.229,0.0040245,45.509,0.002817,0,80.574,3.3994,0.014682,26.708
8808.5,0.45875,0.5425,2.6275,16.688,2.625,3.23,48.5,2.5225,14.903,3.1675,1.01,14.1,45.575,0.13375,1.625,1.755,24.5,2.0875,2.165,20.138,12.025,47.97,2.0305,0.28036,49.72,20.854,15.333,9.6875,2.4494,3.3028,0.0014268,0,95.939,99.439,76.667,0.12886,7.6812,0.0022058,0,80.561,2.7562,0.13249,41.708
8856.5,0.46125,0.9075,1.9225,14.688,2.065,3.77,49.7,2.2825,5.6725,2.1775,2.63,17.5,35.825,0.34125,1.315,2.725,24.5,2.4325,2.285,10.512,9.925,47.52,2.4797,0,50,35,9.6875,7.7292,1.3636,5.3809,0.010526,1.09E-22,95.041,100,48.438,0.081866,12.855,0.0067949,0,77.876,2.1939,0.099187,70
8904.5,0.46375,0.7025,2.8225,20.188,2.645,4.55,18.5,2.2225,8.0125,2.2225,2.23,23.3,35.975,0.32375,1.015,1.045,24.5,1.1875,2.905,31.862,11.255,47.002,2.9984,0,50,34.458,11.771,8.375,1.3754,4.3716,0.0063989,0,94.003,100,58.854,0.11946,10.941,0.0031763,0,74.411,2.1093,0.12904,68.917
8952.5,0.46625,0.9675,3.6925,6.5625,1.355,3.13,44.1,1.0525,13.277,1.9675,2.49,26.3,22.475,0.43625,2.875,2.655,24.5,2.3725,2.105,5.0875,9.575,48.001,1.9993,0,50,36.146,8,7.7708,1.3434,6.8938,0.0048539,0,96.001,100,40,0.065109,16.941,0.1429,4.39E-16,81.158,2.2395,0.21287,72.292
9000.5,0.46875,0.8275,3.5875,24.438,2.015,5.95,46.3,2.0725,9.9625,1.3675,1.47,40.5,43.625,0.37875,2.705,1.525,24.5,1.4875,1.075,7.3625,5.725,38.886,11.114,0.98039,49.02,18.646,14.688,4.375,2.1543,3.426,0.0023172,0,77.772,98.039,73.438,0.0098477,11.503,0.065212,6.19E-09,76.419,2.6827,0.077377,37.292
9048.5,0.47125,0.2125,3.2575,23.938,2.295,2.05,11.3,2.7625,11.978,1.6525,3.77,44.9,28.775,0.48125,2.775,1.335,24.5,1.9525,2.335,6.4875,4.955,50,0,4.3076,45.692,12.979,17.104,3.6458,4.0863,2.7,0.0026454,0,100,91.385,85.521,0.081663,11.566,0.055138,3.30E-08,73.579,3.2253,0.13945,25.958
9096.5,0.47375,0.0375,3.4825,11.688,1.535,5.83,26.5,1.8475,4.0475,1.1275,2.61,34.3,31.025,0.27875,2.265,1.875,24.5,3.1975,2.885,18.913,9.855,50,0,12.224,37.776,14.313,18.646,7.5833,3.6935,2.0719,0.20902,0.015859,100,75.552,93.229,0.025363,22.389,0.00183,0,76.949,2.6987,0.23621,28.625
9144.5,0.47625,0.9725,1.8925,21.063,1.885,2.53,36.9,3.5725,6.2575,2.8675,3.71,35.5,25.175,0.10375,1.635,2.555,24.5,3.7225,1.955,29.588,14.615,45.085,4.9152,0,50,38.604,7.6667,11.229,1.1747,7.114,0.0041326,0,90.169,100,38.333,0.13033,12.824,0.0013785,0,76.833,2.0684,0.13584,77.208
9192.5,0.47875,0.9025,3.9625,7.5625,2.055,3.15,33.7,1.2925,3.0725,2.8375,1.05,39.1,25.625,0.06875,2.325,2.495,24.5,1.3075,1.475,23.987,13.215,48.54,1.4603,0,50,33.646,11.708,10.417,1.4685,4.4776,0.10228,1.32E-12,97.079,100,58.542,0.11622,9.5665,0.0042019,0,78.825,2.1945,0.22271,67.292
9240.5,0.48125,0.5375,1.3525,7.8125,1.625,5.29,41.7,3.9625,9.0525,1.3525,4.23,20.1,41.975,0.24375,2.905,2.685,24.5,3.2575,1.625,14.712,3.975,47.205,2.7951,0.49836,49.502,21.458,12,2.8333,2.3384,4.3212,0.0038193,0,94.41,99.003,60,0.0072847,27.972,0.0032502,0,71.279,2.9663,0.014354,42.917
9288.5,0.48375,0.8575,1.5925,20.063,1.685,4.25,28.9,2.4325,10.873,1.4725,2.17,22.1,43.025,0.37125,2.165,2.175,24.5,1.2775,1.845,30.638,2.505,20.213,29.787,5.6885,44.312,15.521,16.521,1.7917,1.2201,2.8108,0.0015519,0,40.426,88.623,82.604,0.0010339,53.56,0.0013871,0,71.524,2.0298,0.0039729,31.042
9336.5,0.48625,0.2925,1.2475,12.188,2.755,3.91,16.7,1.2025,4.4375,3.6775,1.45,16.3,32.075,0.01125,1.655,2.945,24.5,3.7525,1.065,30.287,14.825,46.705,3.2949,20.77,29.23,33.125,19.542,11.5,1.4453,1.5079,0.029889,4.89E-12,93.41,58.461,97.708,0.41635,1.6607,0.001713,0,77.572,1.4634,0.44795,66.25
9384.5,0.48875,0.5975,1.3225,29.313,1.375,2.81,26.7,3.5125,12.692,1.2475,2.21,30.1,48.425,0.39375,1.025,2.595,24.5,2.1925,1.335,9.8125,14.685,46.563,3.4371,0,50,37,12.917,11.771,1.2633,3.9902,0.002543,0,93.126,100,64.583,0.20949,10.277,0.11213,1.60E-17,80.155,1.9408,0.32416,74
9432.5,0.49125,0.5675,2.6425,12.438,2.465,2.15,42.9,3.0175,8.2725,1.7125,4.21,49.9,42.125,0.12125,2.605,1.545,24.5,1.7575,1.695,7.1875,12.795,25.268,24.732,17.059,32.941,41.917,18.896,9.8125,0.6038,1.7576,0.0036036,0,50.537,65.882,94.479,0.35862,3.5075,0.09342,1.45E-17,76.69,0.95961,0.45564,83.833
9480.5,0.49375,0.3125,3.1825,19.188,1.475,2.31,31.7,3.2575,11.587,1.7575,1.35,40.7,23.525,0.10875,1.685,1.115,24.5,1.8625,2.145,14.362,9.785,47.47,2.53,13.988,36.012,25.708,19.188,7.7292,1.8963,1.8991,0.0023689,0,94.94,72.024,95.938,0.3457,2.9345,0.0031548,0,78.99,1.8803,0.35122,51.417
9528.5,0.49625,0.7425,2.4925,26.438,1.205,4.39,30.3,3.4675,14.577,1.2625,2.87,28.7,33.125,0.32625,1.005,1.595,24.5,1.5025,1.045,22.063,7.125,47.244,2.7561,0,50,32.583,11,5.625,1.4733,4.687,0.0030171,0,94.488,100,55,0.15223,11.538,0.023548,4.59E-20,78.947,2.25,0.17879,65.167
9576.5,0.49875,0.3525,1.2925,20.688,1.115,3.03,31.3,2.5975,5.9975,2.6425,3.69,31.7,37.175,0.21875,1.895,2.845,24.5,2.2225,2.665,18.388,12.585,50,0,8.1742,41.826,22.771,17,9.9792,2.2623,2.4941,0.0065868,0,100,83.652,85,0.044941,21.685,0.00287,0,79.294,2.3289,0.054398,45.542
